Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Loft,бар,Бары; Караоке-залы; Кафе; Доставка готовых блюд,"Клары Цеткин, 23",1 этаж,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-03:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-01:00,+03:00,2.6,77,89872996888,,,,,,,https://vk.com/karaoke_hookah_bar_loft,https://wa.me/79872996888,,,,,,,,54.906171,52.307991,https://2gis.com/firm/70000001027571722
Угли,рестобар,Кафе; Бары,"Объездной тракт, 47",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-00:05; Сб: 11:00-00:05; Вс: 11:00-22:00,+03:00,4.5,57,88553312944,,,,,,,,https://wa.me/79874005824,,,,,,,,54.874658,52.311582,https://2gis.com/firm/70000001063790023
Suare,кафе,Кафе,"проспект Строителей, 10а",2 этаж,423403,4в м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,3.9,162,88553403111,89520403111,,,,http://sayuri-suare.ru,,https://vk.com/cafe_sayuri_suare,,,,,,,,,54.90404,52.270624,https://2gis.com/firm/70000001006688832
Навруз,кафе,Кафе; Доставка готовых блюд,"Базовая, 31а",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-19:00,+03:00,3.5,57,89656155160,,,,,,,,https://wa.me/79656155160,,,,,,,,54.886144,52.288033,https://2gis.com/firm/70000001017407531
Mangal,чайхона,Кафе; Доставка готовых блюд,"Белоглазова, 70",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.1,187,89376225408,,,,,,,,,,,,,,,,54.903784,52.289323,https://2gis.com/firm/70000001057000852
Баку,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"Гагарина, 17",1 этаж,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,3.9,73,88553351755,,,,,,,https://vk.com/baky_almet,,,,,,,,,54.903827,52.293398,https://2gis.com/firm/70000001030411886
Стамбул,кафе,Кафе; Доставка готовых блюд,"улица Советская, 165а ст1",,423462,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,,,89874104555,,,,,,,,https://wa.me/79874104555,,,,,,,,54.911946,52.316591,https://2gis.com/firm/70000001080415357
Шашлычный двор,кафе,Кафе,"Монтажная, 2а",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.1,50,89196419922,88553383940,,,,,,,https://wa.me/79196419922,,,,,https://t.me/+79196419922,,,54.893212,52.286572,https://2gis.com/firm/70000001006913524
Газах,кафе-шашлычная,Кафе; Банкетные залы; Доставка готовых блюд,"Базовая, 50а",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,2.4,14,89625664027,89372929578,89172591413,,,,,https://vk.com/cafemimino116,https://wa.me/79172591413,,,,,,,,54.876597,52.284388,https://2gis.com/firm/70000001006829178
Печки-лавочки,кафе,Кафе,"Объездной тракт, 32а",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-23:00; Сб: 10:00-23:00,+03:00,3.9,37,88553400501,89046750672,,,,,,,,,,,,,,,54.874889,52.314484,https://2gis.com/firm/70000001006967292
Эдем,кафе,Кафе; Доставка готовых блюд,"Монтажная, 2/5",1 этаж,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00,+03:00,4.0,28,89625686687,,,,,,,,https://wa.me/79625686687,,,,,,,,54.89111,52.284709,https://2gis.com/firm/70000001006913574
Мур Мяу,котокафе,Кафе,"проспект Габдуллы Тукая, 3",,423462,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 15:00-22:00; Вт: 15:00-22:00; Ср: 15:00-22:00; Чт: 15:00-22:00; Пт: 15:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,4.8,5,89872682400,,,,,,,https://vk.com/kotokafe_murmyau,https://wa.me/79872682400,,,,,,,,54.910967,52.314806,https://2gis.com/firm/70000001078987163
Райский сад,кафе,Кафе; Доставка готовых блюд,"Объездная, 89Б",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,1.6,64,89872624181,,,,,,,,https://wa.me/79872624181,,,,,,,,54.88665,52.247371,https://2gis.com/firm/70000001035352155
Деревня Prostokvashino,кафе,Кафе; Доставка готовых блюд,"проспект Изаила Зарипова, 4а ст2",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 14:00-01:00; Ср: 14:00-01:00; Чт: 14:00-01:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-01:00,+03:00,4.2,22,89046646775 (администратор),88553350303,89520350303 (директор),,,,,https://vk.com/club89506075,https://wa.me/79520350303,https://wa.me/79046646775,,,,,,,54.913742,52.255612,https://2gis.com/firm/70000001042577532
Саюри Time,кафе,Доставка готовых блюд; Быстрое питание,"Ленина, 33",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-22:00; Сб: 09:00-22:00; Вс: 09:00-21:00,+03:00,4.5,77,89539991300 (доп.3),,,,,http://sayuri-suare.ru,,,,,,,,,,,54.901947,52.299448,https://2gis.com/firm/70000001053423718
МарДил,,Кафе,"Гарифа Ахунова, 1",,423450,Алсу м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,5.0,1,89867190390,,,,,,,,,,,,,,,,54.884749,52.262959,https://2gis.com/firm/70000001066460826
Добрая коза,,Банкетные залы; Кафе,"Ленина, 8",1 этаж,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-21:00,+03:00,3.6,41,88553325303,89196268780,,,,http://добраякоза.рф,,https://vk.com/dobraya.koza,https://wa.me/79196268780,,,,,https://t.me/AlmetDobrayaKoza,,,54.904415,52.308871,https://2gis.com/firm/70000001045477931
Акчарлак,кафе-ресторан,Кафе; Банкетные залы; Доставка готовых блюд,"Ленина, 1",,423458,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,4.1,24,88553454183 (доп.371379),89872950555 (служба доставки),,,,http://tatneft-urs.ru,,https://vk.com/akcharlak_urs,https://wa.me/79872950555,,,,,,,,54.903772,52.317343,https://2gis.com/firm/70000001006922262
Шах Кебаб,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"Индустриальная, 1а",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+03:00,3.8,5,89870008762,,,,,,,,https://wa.me/79870008762,,,,,,,,54.889283,52.301286,https://2gis.com/firm/70000001076387496
Старый замок,кафе,Кафе; Банкетные залы; Доставка готовых блюд,"улица Советская, 90",,423462,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.9,8,88553327783,89510680053,89172415849,,,,,,https://wa.me/79510680053,https://wa.me/79172415849,,,,,,,54.912643,52.346652,https://2gis.com/firm/70000001006909179
Новый Газах,кафе,Банкетные залы; Кафе,"Базовая, 50а ст2",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.1,13,89196248481,89274212540,,,,,,,,,,,,,,,54.876374,52.285468,https://2gis.com/firm/70000001037201675
Караван,кафе-бар,Кафе,"Хакима, 10",,423440,,,,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00,+03:00,4.7,14,89172440136,89870089999,,,,,,,https://wa.me/79870089999,,,,,,,,54.868853,52.417989,https://2gis.com/firm/70000001007040220
Кафе №65,,Кафе; Доставка готовых блюд,"проспект Строителей, 39",1 этаж,423457,3Б м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,1.8,18,89172641070,,,,,,,,https://wa.me/79172641070,,,,,,,,54.907654,52.273428,https://2gis.com/firm/70000001041373984
Али-баба,кафе,Кафе; Доставка готовых блюд,"улица Ризы Фахретдина, 57ж",,423458,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.0,8,89172422876,,,,,,,,https://wa.me/79172422876,,,,,,,,54.891286,52.317756,https://2gis.com/firm/70000001017428897
Ассоль,детское кафе,Кафе; Доставка готовых блюд,"Радищева, 22Б",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,3.6,25,88553402024,88553452695,89046601150,,,,,https://vk.com/id231789793,https://wa.me/79046601150,,,,,,,,54.899605,52.301921,https://2gis.com/firm/70000001006658451
Бахор,кафе,Кафе; Банкетные залы; Доставка готовых блюд,"Полевая, 17",1 этаж,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00,+03:00,2.9,15,89046750588,88553402288,89600378282,,,,,,https://wa.me/79600378282,https://wa.me/79370090000,https://wa.me/79046750588,,,,,,54.899578,52.331281,https://2gis.com/firm/70000001042878370
Сакура,ресторан,Кафе; Суши-бары; Доставка готовых блюд,"Ленина, 15Б",1 этаж,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,1.0,2,89872833003,,,,,,,,https://wa.me/79872833003,,,,,,,,54.90365,52.309096,https://2gis.com/firm/70000001067686036
Фламинго,кафе,Кафе; Банкетные залы; Караоке-залы,"Нефтяников, 23а",2 этаж,423457,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,2.3,3,88553222210,89179364303,89393792184,,,,,,https://wa.me/79179364303,,,,,,,,54.904525,52.285313,https://2gis.com/firm/70000001027543492
Элмет,кафе халяль,Кафе,"Базовая, 31Б",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.6,11,89270371731,,,,,,,,https://wa.me/79270371731,,,,,,,,54.885961,52.28852,https://2gis.com/firm/70000001056579682
Шэшбэш,кафе,Кафе,"Геофизическая, 60",,423453,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,2.3,6,89270422999,,,,,,,,,,,,,,,,54.894364,52.378144,https://2gis.com/firm/70000001059270157
Восточная кухня,кафе,Кафе; Доставка готовых блюд,"Ленина, 121Б",,423455,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 11:00-23:00,+03:00,2.1,8,89172404393,,,,,,,,https://wa.me/79172404393,,,,,,,,54.899245,52.267841,https://2gis.com/firm/70000001006809006
Ян,кафе,Кафе; Банкетные залы; Рестораны,"Сосновая улица, 1в",,,,,,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (кафе: вт-вс 8:00-22:00),+03:00,1.0,11,,,,,,http://glk.tatneft.ru,,,,,,,,,,,54.966354,52.349794,https://2gis.com/firm/70000001034198768
Баракатулло,кафе,Кафе; Доставка готовых блюд,,,423458,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,49,89874175690,89172627970,,,,,,,https://wa.me/79172627970,,,,,,,,54.902944,52.318263,https://2gis.com/firm/70000001035866359
ЧБ,кофейня,Кофейни,"Ивана Новикова, 1 лит 1",,423461,Алсу м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 07:30-21:30; Вт: 07:30-21:30; Ср: 07:30-21:30; Чт: 07:30-21:30; Пт: 07:30-21:30; Сб: 08:30-21:30; Вс: 08:30-21:30,+03:00,5.0,8,89172767857,,,,,,,,,,,,,,,,54.890586,52.265409,https://2gis.com/firm/70000001079700507
Шафран,кафе,Кафе,"Бигаш, 159",,,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+03:00,5.0,2,89172858737,89274545161,,,,,,,https://wa.me/79172858737,,,,,,,,54.918933,52.250692,https://2gis.com/firm/70000001035867388
Coffee Dream,кофейня,Кофейни,"Ленина, 11",,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.2,54,89196912545,,,,,,,https://vk.com/coffee.dream,https://wa.me/79196912545,,,,,,,,54.904006,52.310139,https://2gis.com/firm/70000001030400932
Murmur coffee,кофейня,Кофейни; Доставка готовых блюд,"Ленина, 55",1 этаж,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 07:45-21:00; Вт: 07:45-21:00; Ср: 07:45-21:00; Чт: 07:45-21:00; Пт: 07:45-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,64,89274964446,,,,,,,,,,,,,,,,54.898731,52.290954,https://2gis.com/firm/70000001034992326
Meat house,кафе,Кафе; Доставка готовых блюд; Быстрое питание,"Нефтяников, 6а",2 этаж,423457,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.0,9,88553385050 (многоканальный),,,,,,,,https://wa.me/79625777782,,,,,https://t.me/+79625777782,,,54.909397,52.286436,https://2gis.com/firm/70000001006612085
Султан,кафе,Кафе,"Объездная, 37",,423450,Петуховка,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,1.0,1,89258260505,,,,,,,,,,,,,,,,54.883846,52.274478,https://2gis.com/firm/70000001064401901
Мин поке,кафе,Быстрое питание; Доставка готовых блюд,"Ленина, 68",1 этаж,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,2.5,13,89952991349,,,,,,,,,,,,,,,,54.899107,52.290548,https://2gis.com/firm/70000001063408503
ЧБ,кофейня,Кофейни; Доставка готовых блюд,"Ленина, 30",,423452,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-21:30; Вт: 08:00-21:30; Ср: 08:00-21:30; Чт: 08:00-21:30; Пт: 08:00-21:30; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.3,21,89196469559,,,,,,,,,,,,,,,,54.903512,52.301173,https://2gis.com/firm/70000001066968294
Пирамида,кафе,Кафе,"Индустриальная, 31а",2 этаж,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,,+03:00,2.0,1,,,,,,,,,,,,,,,,,54.889259,52.307183,https://2gis.com/firm/70000001067535588
Suare,служба доставки,Доставка готовых блюд,"проспект Строителей, 10а",2 этаж,423403,4в м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:30; Вт: 10:00-22:30; Ср: 10:00-22:30; Чт: 10:00-22:30; Пт: 10:00-23:30; Сб: 11:00-23:30; Вс: 11:00-22:30,+03:00,2.0,1,88553403111,89520403111,,,,http://sayuri-suare.ru,,https://vk.com/cafe_sayuri_suare,,,,,,,,,54.90404,52.270624,https://2gis.com/firm/70000001047904437
Кафе-хинкальная,,Кафе,"Шевченко, 21Б",,423461,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,2.8,120,88553420520,,,,,,,https://vk.com/khinkalnaya_almetyevsk,,,,,,,,,54.89333,52.276052,https://2gis.com/firm/70000001036847855
Юлдаш,кафе,Быстрое питание,"Герцена, 1",,423458,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+03:00,4.7,3,,,,,,,,,,,,,,,,,54.903591,52.318541,https://2gis.com/firm/70000001006828681
Bombey,кафе,Кафе; Караоке-залы; Доставка готовых блюд,,,,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-24:00,+03:00,,,89504799775,,,,,,,,,,,,,,,,54.917848,52.252084,https://2gis.com/firm/70000001065045896
Юлдаш,кафе,Кафе,"Советская улица, 73",1 этаж,,,,,Альметьевский район,Республика Татарстан,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,54.773432,52.490206,https://2gis.com/firm/70000001032861416
Coffee way,кофейня,Кофейни; Продажа кофе,"Ленина, 100",,423457,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,77,89867217979 (единая справочная: пн-вс 9:00-21:00),,,,,http://coffeeway.ru,,https://vk.com/coffeeway_alm,https://wa.me/79867217979,,,,,,,https://youtube.com/channel/UC1HloaRTBS09uYcms3Md8Uw,54.899403,52.273425,https://2gis.com/firm/70000001035516468
Suare,кафе,Кафе,"улица Куйбышева, 46 ст1",,,,,Лениногорск,Лениногорский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.4,66,89393939000,,,,,http://sayuri-suare.ru,,https://vk.com/suareleninogorsk,,,,,,,,,54.596869,52.460177,https://2gis.com/firm/70000001039162134
Тантана,кафе домашней кухни,Кафе,"Советская улица, 71",мансардный этаж,,,,,Альметьевский район,Республика Татарстан,Россия,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00; Сб: 07:00-19:00; Вс: 07:00-19:00,+03:00,5.0,1,89178627883,,,,,,,,,,,,,,,,54.773668,52.490008,https://2gis.com/firm/70000001032859303
Транзит,кафе,Кафе,"Объездной тракт, 45 ст2",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00; Сб: 07:00-20:00; Вс: 07:00-20:00,+03:00,,,88553300096,88553312096,,,,,,,,,,,,,,,54.874904,52.311274,https://2gis.com/firm/70000001065251228
Ташкен,кафе-чайхана,Кафе,"проспект Строителей, 39",1 этаж,423457,3Б м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00,+03:00,4.1,7,89953669654,,,,,,,,https://wa.me/79635970028,,,,,,,,54.907648,52.273513,https://2gis.com/firm/70000001039437797
АБЗ,кафе,Кафе,"Зелёная улица, 1а",,,,,,Альметьевский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,54.920625,52.135717,https://2gis.com/firm/70000001062827994
Татнефть АЗС-центр,кафе,Быстрое питание,"Сергея Тюленина, 100",,423454,СУ-2 м-н,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 05:00-22:00; Вт: 05:00-22:00; Ср: 05:00-22:00; Чт: 05:00-22:00; Пт: 05:00-22:00; Сб: 05:00-22:00; Вс: 05:00-22:00,+03:00,,,89196491471,,,,,,,,,,,,,,,,54.896627,52.372159,https://2gis.com/firm/70000001068529062
Мангал&house,кафе,Быстрое питание,,,423403,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,,+03:00,,,,,,,,,,,,,,,,,,,54.906791,52.254419,https://2gis.com/firm/70000001080866604
Татнефть АЗС-центр,кафе,Быстрое питание,"улица Ризы Фахретдина, 7а",,423462,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,89196886557,,,,,,,,,,,,,,,,54.909955,52.317453,https://2gis.com/firm/70000001041751678
Татнефть АЗС-центр,кафе,Быстрое питание,"Шевченко, 47Б",,423450,,,Альметьевск,Альметьевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,,,,,,,,,,,,,,,,,54.895585,52.260563,https://2gis.com/firm/70000001063916523
Старый Амбар,ресторан,Рестораны; Бары; Кафе,"улица Газинура Гафиатуллина, 50",цокольный этаж,423237,,,Бугульма,Бугульминский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-23:00,+03:00,2.4,14,88559469314,88003333007,89874082553,,,http://www.old-ambar.ru,,https://vk.com/old_ambar,https://wa.me/79874082553,,,,,,,,54.530249,52.803548,https://2gis.com/firm/70000001037868955
Актюба,столовая,Столовые; Кафе,"улица Ленина, 7",,,,,,Азнакаевский район,Республика Татарстан,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+03:00,,,88559231868,,,,,,,,,,,,,,,,54.813684,52.806995,https://2gis.com/firm/70000001054307750
Амалия,кафе,Кафе,"улица Тавабилова, 123",,,,,,Альметьевский район,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,,,,,,,,,,,,,,,,,54.961548,52.525483,https://2gis.com/firm/70000001066793089
