Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Очаг,кафе,Кафе; Бары; Доставка готовых блюд,"проспект Наставников, 38/1",,195279,Пороховые,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,4.9,10,89213694959,,,,,http://Кафе-очаг-спб.рф,,,,https://vk.com/club130666899,https://wa.me/79213694959,,,,,,,,59.953169,30.482588,https://2gis.com/firm/5348553838667688
Amelie,буланжери,Пекарни; Кофейни,"улица Звенигородская, 4",цокольный этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.5,24,89213241410,89819819850,,,,,,,,,https://wa.me/79213241410,https://wa.me/79819819850,,,,,,,59.922615,30.336368,https://2gis.com/firm/70000001068055278
Пирожковая лавка,,Быстрое питание; Кафе; Доставка готовых блюд,"улица Марата, 8",цокольный этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,4.7,11,89119778110,,,,,,,,,,https://wa.me/79119778110,,,,,,,,59.930212,30.354984,https://2gis.com/firm/70000001068491583
КофеБон,сеть кофеен,Кофейни; Доставка готовых блюд; Продажа кофе; Кафе; Продажа чая,"набережная Чёрной речки, 49",1 этаж,197342,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 09:00-21:00,+03:00,4.9,68,88123099510 (единый номер: пн-пт 10:00-20:00),,,marketing@coffeebon.ru,,http://coffeebon.ru,,,,https://vk.com/coffee_bon,,,,,,https://t.me/coffe_bon,,,59.985666,30.305394,https://2gis.com/firm/70000001044714548
Отдых,кафе,Кафе,"улица Марата, 65",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,32,89052059113,88125727350,,,,,,,,,,,,,,,,,59.921585,30.34522,https://2gis.com/firm/5348552838557651
Bazar Coffee,кафе,Кафе,"улица Маршала Говорова, 35 к5",1 этаж,198095,Нарвский,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+03:00,4.0,7,89214331613,,,,,http://bazarcoffee.ru,,,,,https://wa.me/79214331613,,,,,,,,59.888301,30.281014,https://2gis.com/firm/70000001035681615
Feromon Group,лаундж-бар,Центры паровых коктейлей; Бары; Антикафе; Кафе; Табачные изделия / Товары для курения,"улица Ивановская, 17 лит А",цокольный этаж,192171,Ивановский,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.3,107,89219070095,,,info@feromon.group,smm@feromon.group,http://feromon.group/?utm_source=2gis&utm_campaign=none,,,,https://vk.com/feromongroup,,,,,,https://t.me/feromongroup,,,59.874801,30.440032,https://2gis.com/firm/70000001020106577
Греми,кафе,Кафе; Доставка готовых блюд,"Суворовский проспект, 57",1 этаж,191015,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,5.0,43,88122756246,,,,,http://gremicafe.ru,,,,,,,,,,,,,59.940555,30.379273,https://2gis.com/firm/5348552838531411
Водопад,кафе-ресторан,Кафе; Доставка готовых блюд; Рестораны,"Седова, 154",2 этаж,192174,Обуховский,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.5,6,89062451472,,,,,,,,,,,,,,,,,,59.864786,30.445385,https://2gis.com/firm/5348552838487078
Север-Метрополь,кафе-кондитерская,Доставка готовых блюд; Кафе-кондитерские; Кондитерские изделия; Кофейни,"Невский проспект, 6",1 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,2.6,46,88123298168,,,,,http://sever-metropol.ru,,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.936903,30.314642,https://2gis.com/firm/70000001050918725
Клиент всегда love,кафе,Доставка готовых блюд; Точки кофе; Быстрое питание,"Большой Сампсониевский проспект, 74 к2 ст1",1 этаж; напротив входа в отель Вертикаль,194100,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.3,101,89623452121,,,,,http://klient-vsegda-love.ru,,,,https://vk.com/klient.vsegda.love,,,,,,,,,59.981911,30.333916,https://2gis.com/firm/70000001055252517
Beer House,сеть баров,Бары; Доставка готовых блюд; Рестораны; Кафе,"улица Ленсовета, 90",1 этаж,196158,Звездное,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.5,77,88125012164,,,info@beerhousebar.ru,,http://beerhousebar.ru/?utm_source=2gis,,,,https://vk.com/beerhousebar,,,,,,,,,59.83188,30.351893,https://2gis.com/firm/70000001006508258
Коржов,пекарня-кондитерская,Пекарни; Кафе-кондитерские; Кофейни,"Московский проспект, 42/27",1 этаж,190013,Семёновский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 09:00-22:00,+03:00,4.0,120,89219304631,,,,,http://korjov.com,,,,https://vk.com/korjov_bakeries,,,,,,,,,59.913834,30.318476,https://2gis.com/firm/70000001044777638
Цех85,пекарня-кондитерская,Кондитерские изделия; Пекарни; Кафе-кондитерские; Кофейни; Доставка готовых блюд,"Разъезжая, 39",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.8,50,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.922,30.35161,https://2gis.com/firm/70000001031477792
Оазис Групп,сеть кафе и ресторанов восточно-кавказской и европейской кухни,Рестораны; Банкетные залы; Доставка готовых блюд; Кафе,"Крупской, 21",1 этаж,192029,Невская застава,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.1,12,89119265701 (банкетная служба),89119270782 (служба бронирования),88129270782 (служба доставки),,,http://oazis21.ru,,,,,https://wa.me/79119265701,,,viber://chat/?number=79119265701,,,,,59.889972,30.430078,https://2gis.com/firm/5348552838558820
UKUSNO сербская кухня,кафе,Быстрое питание; Доставка готовых блюд,"Лиговский проспект, 30",5 этаж,191040,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.1,41,89312624337,,,ukusno@inbox.ru,,,,,,https://vk.com/ukusno,,,,,,,,,59.927698,30.360259,https://2gis.com/firm/70000001039920910
Asia Family,ресторан восточной и азиатской кухни,Кафе; Доставка готовых блюд,"Европейский проспект, 2 ст1",1 секция; 2 этаж,188693,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.8,18,89812250001,,,,,http://asiafamily.ru/,,,,https://vk.com/asiafamilykudrovo,https://wa.me/79812250001,,,,,,,,59.898342,30.513402,https://2gis.com/firm/70000001064819057
Вагон-ресторан,кафе,Кафе,"Библиотечный переулок, 4 к2 ст1",,198095,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-18:00; Ср: 12:30-20:30; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+03:00,3.7,19,89934850445,,,,,,,,,https://vk.com/vagonrest,https://wa.me/79934850445,,,,,,,,59.905728,30.297695,https://2gis.com/firm/70000001043383696
Mazza cafe,,Кафе,"Ручьёвская дорога, 99",,195273,Полюстрово,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,5.0,6,,,,,,http://mazza.clients.site,,,,,,,,,,,,,60.000567,30.450734,https://2gis.com/firm/70000001077247830
Gavazi,кафе грузинской кухни,Кафе,"Боровая, 22",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.5,39,89602519134,,,,,,,,,,https://wa.me/79602519134,,,,,,,,59.920003,30.347363,https://2gis.com/firm/70000001035004615
Рис.Лапша,,Быстрое питание; Доставка готовых блюд; Кафе; Суши-бары,"Охтинская аллея, 10 к1 лит А",1 этаж,188666,Западный м-н,,Мурино,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,19,89952309009,,,,,http://ris-lapsha.ru,http://taplink.cc/rislapsha?from=qr,,,https://vk.com/ricenoodles,,,,,,https://t.me/+79952309009,,,60.048694,30.431584,https://2gis.com/firm/70000001068614248
Бейкер,семейное кафе,Пекарни; Кафе; Доставка готовых блюд,"Комендантский проспект, 51 к1",1 этаж,197350,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,3.7,19,89216468283,89319768808,,,,http://bejker.clients.site/,,,,https://vk.com/kafebeiker,https://wa.me/79216468283,https://wa.me/79319768808,,,,https://t.me/+79216468283,,,60.029602,30.236951,https://2gis.com/firm/70000001046881904
Белка,кафе,Кафе,"Белы Куна, 34",1 этаж,192236,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+03:00,5.0,1,88123349842,,,,,http://pirogspb.ru,,,,https://vk.com/cafe_belka,,,,,,,,,59.880637,30.402558,https://2gis.com/firm/5348552838568254
Vaffel,кафе,Кафе; Доставка готовых блюд,"бульвар Менделеева, 9 к1",,188677,Западный м-н,,Мурино,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.6,46,89052817296,,,,,http://vaffel.ru,,,,,,,,,,,,,60.052426,30.430107,https://2gis.com/firm/70000001076978103
"Gастро БУФЕТ, кафе",,Доставка готовых блюд; Кафе; Кофейни,"проспект Добролюбова, 1",цокольный этаж,197198,Введенский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,2.9,13,,,,,,,,,,,,,,,,,,,59.949573,30.305599,https://2gis.com/firm/70000001070980840
Joy`s pizza,пиццерия,Пиццерии; Доставка готовых блюд; Кафе,"Ленинский проспект, 82 к1",1 этаж,198332,Южно-Приморский,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,104,88123354000 (единый номер: пн-вс 10:00-23:00),,,,,http://joyspizza.ru,,,,https://vk.com/joyspizzaru,https://wa.me/79210910265,,,,,,,,59.858073,30.196934,https://2gis.com/firm/5348553838936165
Хачапурная-хинкальная,г. Санкт-Петербург,Кафе,"Боровая, 8",1 этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.0,32,88125756836,,,,,,,,,,,,,,,,,,59.921769,30.34838,https://2gis.com/firm/5348552838766095
Дионис,кафе-бар,Кафе; Бары; Банкетные залы,"Пражская, 35",2 этаж,192241,Муниципальный округ №72,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+03:00,4.4,8,88123614354,88123602295,89811443624,,,,,,,https://vk.com/aquarius_spb,https://wa.me/79811443624,https://wa.me/79112248303,,,,,,,59.864063,30.399589,https://2gis.com/firm/5348552838595998
Tiger Tea,кафе,Кофейни,"Загородный проспект, 22",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,25,89817037640,,,,,,,,,https://vk.com/tigertea_spb,,,,,,,,,59.925686,30.341533,https://2gis.com/firm/70000001080053714
Линдфорс,кафе-пироговая,Кафе; Пекарни; Доставка готовых блюд,"Московский проспект, 195",1 этаж,196066,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.2,29,88126793377 (служба доставки: пн-вс 9:00-21:00),,,,,http://spb.lindfors.ru/?utm_source=2gis.ru%2Fspb&utm_medium=site&utm_campaign=2gis,,,,https://vk.com/cafe_lindfors,,,,,,,,https://youtube.com/channel/UC47meeIrhAqP-xF08q7Y91g,59.850167,30.320969,https://2gis.com/firm/70000001020926398
Хачапурная,,Кафе,"Лиговский проспект, 154",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,36,88127665829,,,,,,,,,,,,,,,,,,59.912745,30.349488,https://2gis.com/firm/5348552839797263
А и Хого,кафе китайской кухни,Кафе,"15-я линия В.О., 8",,199034,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,1.0,1,,,,,,,,,,,,,,,,,,,59.935609,30.27325,https://2gis.com/firm/70000001079107724
InGeorgia,кафе,Кафе; Доставка готовых блюд,"улица Фурштатская, 35",цокольный этаж,191123,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.5,54,88122722355,,,,,,,,,,,,,,,,,,59.944991,30.363297,https://2gis.com/firm/70000001028003567
В’Альтер,,Кафе,"проспект Шаумяна, 14",Ozon,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,3,89811773791,,,,,http://v-alter.qr-cafe.ru,,,,,https://wa.me/79811773791,,,,,,,,59.934581,30.417433,https://2gis.com/firm/70000001080801310
Pulkoff club,бар,Бары; Кафе; Бильярдные залы,"улица Ленсовета, 34",1 этаж,196143,Звездное,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+03:00,3.8,13,89319500111,,,,,,,,,,https://wa.me/79319500111,,,,,,,,59.847422,30.330512,https://2gis.com/firm/70000001048883567
Любим сытно,семейное кафе,Быстрое питание; Кафе; Доставка готовых блюд,"проспект Обуховской Обороны, 120 лит Б",,192012,Рыбацкое,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-23:00,+03:00,3.9,30,89313806474,,,,,http://lyubimsytno.ru,,,,https://vk.com/lyubimsytno,,,,,,,,,59.86591,30.472144,https://2gis.com/firm/70000001076508305
Лобби,бар,Бары; Кафе,"Невский проспект, 57",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,,,88123802001,,,,,http://corinthia.com,,,,,,,,,,,,,59.932127,30.350851,https://2gis.com/firm/70000001040897991
Брынза,чебуречная,Кафе; Доставка готовых блюд,"Каменноостровский проспект, 10 лит А",1 этаж,197101,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,178,88126556259,88126556666 (служба доставки: пн-вс 9:00-1:00),,,,http://www.cafebrynza.ru,,,,https://vk.com/cafebrynza,,,,,,,,,59.958361,30.318316,https://2gis.com/firm/5348552841824123
Стрелка,кофейня,Кофейни,"4-я линия В.О., 59",,199178,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,5.0,7,,,,,,,,,,,,,,,,,,,59.948455,30.276105,https://2gis.com/firm/70000001079751209
Parklane,ресторан,Рестораны; Кафе,"Рюхина улица, 9 лит А",,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,1.8,4,88124997676,,,,,http://www.parklanehotel.ru,,,,https://vk.com/parklanelive,,,,,,,,,59.969756,30.255181,https://2gis.com/firm/70000001064907898
Баракат,кафе,Кафе,"Кузнечный переулок, 3",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.4,8,89110056235,,,,,,,,,,https://wa.me/79110056235,,,,,,,,59.92733,30.350302,https://2gis.com/firm/70000001064320913
Цех85,пекарня-кондитерская,Кондитерские изделия; Пекарни; Кафе-кондитерские; Кофейни; Доставка готовых блюд,"Малая Посадская, 7/4",1 этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.9,37,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.957056,30.322092,https://2gis.com/firm/70000001047169783
Море внутри тебя,кофейня,Кофейни,"улица Новгородская, 23",1 этаж,191124,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.9,26,89819892039,,,,,http://taplink.cc/more_insideyou,,,,https://vk.com/moreinside_you,,,,,,,,,59.940701,30.390159,https://2gis.com/firm/70000001070152696
Вкусная Империя,ресторан-кафе,Рестораны; Кафе,"проспект Тореза, 36","1, 2 этаж",194021,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,"Пн: 07:00-11:00, 12:00-23:00; Вт: 07:00-11:00, 12:00-23:00; Ср: 07:00-11:00, 12:00-23:00; Чт: 07:00-11:00, 12:00-23:00; Пт: 07:00-11:00, 12:00-23:00; Сб: 07:00-11:00, 12:00-23:00; Вс: 07:00-11:00, 12:00-23:00 (кафе: пн-вс 10:00-2:00)",+03:00,3.8,10,88124571714,,,,,http://sputnik-hotel.ru,,,,https://vk.com/hotel_spb_sputnik,,,,,,,,,60.005431,30.354649,https://2gis.com/firm/5348552839814040
Хинкали&Шашлык,хинкальная-шашлычная,Кафе; Доставка готовых блюд,"Невский проспект, 150 лит К",1 этаж,191024,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.4,88,89119982359,88127172307,,,,,,,,,https://wa.me/79119982359,,,,,,,,59.928431,30.373627,https://2gis.com/firm/5348552840923120
Бухара,кафе восточной кухни,Кафе; Быстрое питание,"улица Савушкина, 7",1 этаж,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.1,12,89214111418,,,,,,,,,https://vk.com/kafebukhara7,,,,,,,,,59.986753,30.29819,https://2gis.com/firm/70000001066108685
Бистро`54,,Пекарни; Кофейни,"Малый проспект В.О., 54 к2",1 этаж,199178,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.3,11,88124082253,,,,,http://krasovskaia.com,,,,,,,,,,,,https://youtube.com/anna_krasovskaia,59.941937,30.257336,https://2gis.com/firm/70000001067426103
Три богатыря,кафе,Кафе; Организация и проведение праздников; Доставка готовых блюд,"улица Николая Рубцова, 3 ст1",1 этаж,194363,Парголово пос.,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.8,43,89818530321,,,,,,,,,,https://wa.me/79818530321,,,,,,,,60.075341,30.346532,https://2gis.com/firm/70000001062533735
Цех85,пекарня-кондитерская,Кондитерские изделия; Пекарни; Кафе-кондитерские; Доставка готовых блюд; Кофейни,"Средний проспект В.О., 36/40",1 этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.0,30,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.942025,30.276199,https://2gis.com/firm/70000001048294521
Крым,кафе,Кафе; Доставка готовых блюд,"улица Софийская, 4 лит А",1 этаж,192236,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+03:00,5.0,3,,,,,,,,,,,,,,,,,,,59.887156,30.391224,https://2gis.com/firm/70000001062083329
Sofa,лаундж-бар,Кафе; Бары; Доставка готовых блюд,"Ленинский проспект, 81 к1",1 этаж,198328,Южно-Приморский,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,3.5,24,88129279262,88127457142,,,,http://www.sofa-bar.ru,,,,https://vk.com/sofabarspb,,,,,,,,,59.856537,30.198658,https://2gis.com/firm/5348552838541740
