Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL
Doppi,ресторан узбекской кухни,Рестораны,"бульвар Красных Зорь, 8 к2",1 этаж,192174,Обуховский,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+03:00,2.9,11,89522095088,,,,,,,,,,,,,,,,,,,59.870985,30.4435,https://2gis.com/firm/70000001038191743
Водопад,ресторан,Рестораны,"Тихорецкий проспект, 2 к2",,194064,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.0,17,88122979722,89312229722,,,,http://www.vodopad-rest.ru,,,,https://vk.com/club13010664,https://wa.me/79312229722,,,,,,,,,60.010418,30.36836,https://2gis.com/firm/5348552838484026
Liman,кафе,Кафе; Рестораны; Пиццерии; Доставка готовых блюд,"Ланское шоссе, 13",1 этаж,197342,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.2,93,88127673014,,,liman.restspb@gmail.com,,http://delivery.liman-spb.ru/,,,,https://vk.com/cafeliman,,,,,,,,,,59.990526,30.305342,https://2gis.com/firm/70000001030815005
Camorra Isola Grande,пиццерия,Рестораны; Доставка готовых блюд,"Кожевенная линия, 30 лит А",1 этаж,199106,Гавань,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-23:00; Вт: 13:00-23:00; Ср: 13:00-23:00; Чт: 13:00-23:00; Пт: 13:00-24:00; Сб: 13:00-01:00; Вс: 13:00-24:00,+03:00,2.9,21,89119792396,,,,,http://camorra.afbrew.co,http://camorraspb.ru/kozhevennaya,,,https://vk.com/camorrapizza,,,,,,https://t.me/af_kitchenbot,,,,59.922289,30.248968,https://2gis.com/firm/70000001062139980
Старый Тбилиси,ресторан,Рестораны; Доставка готовых блюд,"улица Гаванская, 25",1 этаж,199106,Гавань,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,31,89117378008,89117478008,,,,http://www.st-tbilisi.ru,,,,https://vk.com/staryi_tbilisi_spb,https://wa.me/79117378008,,,,,,,,,59.932211,30.240244,https://2gis.com/firm/5348552839482407
Персия,ресторан,Рестораны; Доставка готовых блюд,"улица Садовая, 65",1 этаж,190068,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,55,88123105953,,,,,,,,,,,,,,,,,,,59.922064,30.304751,https://2gis.com/firm/5348552838480952
Eristov,ресторан грузинской кухни,Рестораны; Доставка готовых блюд,"набережная реки Карповки, 5 лит П",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,3.3,89,88122348517,88129430966,,,,http://eristov.spb.ru,http://t.me/eristov_spb,,,https://vk.com/resteristov,,,,,,,,,,59.96824,30.317325,https://2gis.com/firm/70000001006361238
Ели-пили,ресторан,Рестораны; Доставка готовых блюд,"улица Школьная, 64",1 этаж,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,30,88124310136,,,,,http://www.elipili.info,,,,,,,,,,,,,,59.987015,30.264181,https://2gis.com/firm/5348552838492289
ПхалиХинкали,ресторан грузинской кухни,Рестораны; Доставка готовых блюд,"улица Ярослава Гашека, 6 лит Б",,192281,Балканский,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,185,88124096088 (контакт-центр),,,,,http://phali-hinkali.ru,,,,https://vk.com/phalihinkali,,,,,,https://t.me/phalihinkalispb,,,,59.833244,30.389417,https://2gis.com/firm/70000001041220276
На Парах,кафе здорового питания,Кафе; Доставка готовых блюд; Рестораны,"бульвар Новаторов, 11 к2 лит А",2 этаж,198216,Княжево,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,218,88126400506 (единая справочная: круглосуточно),,,,,http://naparah.ru,http://заказ.напарах.рф,http://напарах.рф,,https://vk.com/naparah,,,,,,https://t.me/naparahrest,,,,59.850927,30.268538,https://2gis.com/firm/70000001026720627
На Речке,ресторан,Аренда беседок; Рестораны; Бары; Доставка готовых блюд,"улица Камышовая, 31 к2",1 этаж,197372,Юнтолово,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.3,38,89219303034,,,,,http://restoran-na-rechke.clients.site,,,,,https://wa.me/79219303034,,,viber://chat/?number=79219303034,,https://t.me/+79219303034,,,,60.009127,30.226321,https://2gis.com/firm/5348552838580813
Охотничий клуб,ресторан,Рестораны; Доставка готовых блюд,"улица Новгородская, 27",1 этаж,191124,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.5,16,88123278274,89523571111,,,,http://ohota.rest,,,,https://vk.com/ohotarest,https://wa.me/79523571111,,,,,,,,,59.94251,30.393811,https://2gis.com/firm/5348552838480165
Вилка,ресторан,Рестораны; Доставка готовых блюд,"Планерная улица, 59",1 этаж,197373,Юнтолово,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.4,42,88123892828,,,,,http://vilka2x2.ru,,,https://twitter.com/vilak2x2,https://vk.com/2x2vilka,,,,,,,,,,60.022532,30.225319,https://2gis.com/firm/70000001021899791
Русская рыбалка,фудтрак,Пекарни,"Южная дорога, 11",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00 (служба доставки: пн-вс 12:00-21:30),+03:00,3.8,43,88126330200,88123239813,88126330366 (служба доставки),,,http://www.russian-fishing.ru,,,,,,,,,,,,,,59.969236,30.233227,https://2gis.com/firm/5348552839515860
Мука&Вода,ресторан,Кафе; Доставка готовых блюд,"Гороховая, 44",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.2,53,89500233031,,,,,http://mykaivoda.com,,,,,,,,,,https://t.me/mykaivoda,,,,59.927034,30.324404,https://2gis.com/firm/70000001041427274
Евразия,рестораны японской и европейской кухни,Суши-бары; Доставка готовых блюд; Бары; Рестораны,"Европейский проспект, 8",1 этаж,188693,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-23:00,+03:00,4.7,429,88129807391,,,resto@evrasiaspb.ru,,http://evrasia.spb.ru/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo,,,,https://vk.com/evrasiaspb,,,,,,https://t.me/evrasiapiter,,,,59.900794,30.512879,https://2gis.com/firm/70000001030618917
Suki Sushi,суши-бар,Суши-бары; Доставка готовых блюд; Рестораны,"Лодейнопольская, 8",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,27,89650609050,,,,,http://delivery.restik.com/suki,,,,,https://wa.me/79650609050,,,,,,,,,59.965347,30.290944,https://2gis.com/firm/70000001022828408
Мегаполис,,Рестораны; Банкетные залы,"Новочеркасский проспект, 49",1 этаж,195196,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.0,48,89219386362,,,,,,,,,https://vk.com/megapolis_bar,https://wa.me/79219386362,,,,,https://t.me/megapolis_bar,,,,59.924755,30.415409,https://2gis.com/firm/5348553838960013
Lahta plaza,ресторан,Рестораны; Доставка готовых блюд,"Приморский проспект, 78 к1",,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,5.0,1,88127489808,,,,,http://lahtaplaza.ru,,,,,,,,,,,,,,59.987748,30.190488,https://2gis.com/firm/70000001062167682
Timmermans Bar,бельгийский паб,Бары; Рестораны,"Корпусная, 9",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-24:00; Вт: 13:00-24:00; Ср: 13:00-24:00; Чт: 13:00-24:00; Пт: 13:00-24:00; Сб: 13:00-24:00; Вс: 13:00-24:00,+03:00,4.2,20,88126502427,,,,,http://timbar.ru,,,,,,,,,,,,,,59.962986,30.288508,https://2gis.com/firm/70000001031455635
Соседи,ресторан,Рестораны; Доставка готовых блюд,"Есенина, 1 к1",1 этаж,194354,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.0,13,88126929218,,,,,http://ресторан-соседи.рф,,,,https://vk.com/sosedi.rest,,,,,,,,,,60.030089,30.330351,https://2gis.com/firm/70000001026515043
Чито Гврито,ресторан грузинской кухни,Кафе; Доставка готовых блюд; Рестораны,"Малый проспект П.С., 64",1 этаж,197136,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.8,59,88123176333 (единая справочная: пн-вс 11:00-21:30),,,,,http://chitogvrito.ru,http://chitogvrito.net,http://chitogvrito.shop,,https://vk.com/chitogvrito_spb,,,,,,,,,,59.962907,30.300832,https://2gis.com/firm/70000001034520278
ТОКИО-CITY,сеть городских ресторанов,Суши-бары; Доставка готовых блюд; Рестораны,"улица Парашютная, 60",1 этаж,197350,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,2.3,14,88126771000 (служба доставки: пн-вс 9:00-23:00),,,,,http://tokyo-city.ru,,,,https://vk.com/club_tokyocity,,,,,,https://t.me/tokyocity_ru,,,https://youtube.com/channel/ucxwpb1q7cvampm6tuwh2llg,60.039109,30.240512,https://2gis.com/firm/70000001061602990
Beer House,сеть баров,Бары; Доставка готовых блюд; Рестораны; Кафе,"Английский проспект, 39",цокольный этаж,190008,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.6,140,88125012164,,,info@beerhousebar.ru,,http://beerhousebar.ru/?utm_source=2gis,,,,https://vk.com/beerhousebar,,,,,,,,,,59.919314,30.288099,https://2gis.com/firm/70000001030923366
Чайна сад,китайский ресторан,Рестораны; Кафе,"Морская набережная, 15",2 этаж,199226,Морской,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,3.7,19,89995166666,,,,,http://chainya-sad.ru,,,,,https://wa.me/79995288888,,,,,,,,,59.940442,30.216214,https://2gis.com/firm/5348552838482389
Feromon Group,лаундж-бар,Центры паровых коктейлей; Рестораны; Бары; Антикафе; Караоке-залы,"проспект Стачек, 72",2 этаж,198188,Автово,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.7,95,89216565666,,,info@feromon.group,smm@feromon.group,http://feromon.group/?utm_source=2gis&utm_campaign=none,,,,https://vk.com/feromongroup,https://wa.me/79216565666,,,,,https://t.me/feromongroup,,,,59.878668,30.26218,https://2gis.com/firm/70000001066376485
Евразия,рестораны японской и европейской кухни,Суши-бары; Рестораны; Доставка готовых блюд; Бары,"Индустриальный проспект, 26",1 этаж,195279,Пороховые,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-23:00,+03:00,4.2,78,88129807352,,,resto@evrasiaspb.ru,,http://evrasia.spb.ru/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo,,,,https://vk.com/evrasiaspb,,,,,,https://t.me/evrasiapiter,,,,59.947505,30.473348,https://2gis.com/firm/5348553838750132
Prowine’s seafood&bar,,Рестораны; Бары,"Рубинштейна, 9/3",,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-23:00; Вт: 14:00-23:00; Ср: 14:00-23:00; Чт: 14:00-23:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-23:00,+03:00,4.8,27,89213983900,88129494943,,,,http://prowines-seafood.ru,,,,,https://wa.me/79213983900,,,,,https://t.me/+79213983900,,,,59.930699,30.344535,https://2gis.com/firm/70000001069377704
Мартен,ресторан,Рестораны,"Кондратьевский проспект, 62 к1",1-2 этаж,195271,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+03:00,3.7,24,89217454696,,,,,http://www.marten-spb.ru,,,,,,,,,,,,,,59.979638,30.393103,https://2gis.com/firm/5348552838775172
Pantao asian bar,ресторан,Суши-бары; Доставка готовых блюд; Кафе,"Гороховая, 31",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.8,963,89119245558,,,,,,,,,https://vk.com/public187592130,,,,,,https://t.me/pantao,,,,59.929966,30.319594,https://2gis.com/firm/70000001039240021
Китай-город,ресторан,Рестораны; Доставка готовых блюд,"Мытнинская, 12",1 этаж,191144,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-23:30; Вт: 11:30-23:30; Ср: 11:30-23:30; Чт: 11:30-23:30; Пт: 11:30-23:30; Сб: 11:30-23:30; Вс: 11:30-23:30,+03:00,3.5,32,88127102005,,,,,,,,,,,,,,,,,,,59.932917,30.376483,https://2gis.com/firm/5348552838504287
Дом Ленинградской Пышки,пышечная,Кафе; Пекарни; Кондитерские изделия; Мороженое; Рестораны,"Торфяная дорога, 7 лит А",4 этаж,197374,Озеро Долгое,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,20,88126045191 (доп.07),,,,,http://www.домпышки.рф,,,,https://vk.com/dom_pyshki,https://wa.me/79213091284,,,,,,,,,59.98984,30.257273,https://2gis.com/firm/70000001066782121
Vinch,ресторан,Рестораны; Пиццерии,"проспект Тореза, 77 к1 ст1",1 этаж,194214,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,5.0,26,89910459127,,,,,http://vinch-spb.ru,,,,https://vk.com/vinch_spb,https://wa.me/79910459127,,,,,https://t.me/vinch_toreza,,,,60.023499,30.327687,https://2gis.com/firm/70000001061320005
Старый Баку,ресторан,Рестораны; Доставка готовых блюд,"Гатчинская, 31-33",1 этаж,197136,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,3.5,20,88129750267,,,,,http://o-baku.ru,,,,,,,,,,,,,,59.963246,30.296777,https://2gis.com/firm/5348552838487317
Евразия,рестораны японской и европейской кухни,Суши-бары; Рестораны; Доставка готовых блюд; Бары,"проспект Стачек, 77",1 этаж,198096,Автово,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-22:00,+03:00,4.4,119,88129807218,,,resto@evrasiaspb.ru,,http://evrasia.spb.ru/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo,,,,https://vk.com/evrasiaspb,,,,,,https://t.me/evrasiapiter,,,,59.866244,30.260346,https://2gis.com/firm/5348552838484120
Cabinet-portrait,ресторан,Рестораны; Банкетные залы,"Малая Московская, 7",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.7,16,89119204115,88127124321,,,,http://www.restoranspb.com,,,,https://vk.com/cabinetportrait,https://wa.me/79119204115,,,,,,,,,59.925969,30.349426,https://2gis.com/firm/5348552838480199
Wine. Talks. Food,винный бар,Рестораны; Бары,"улица Салова, 61",2 этаж,192102,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Чт: 17:00-24:00; Пт: 18:00-02:00; Сб: 18:00-02:00; Вс: 17:00-24:00,+03:00,5.0,6,89319562828,,,,,http://wine-talks-food.clients.site,,,,,,,,,,https://t.me/winetalksfood,,,,59.884824,30.368552,https://2gis.com/firm/70000001075592945
Milwaukee,бар-ресторан,Рестораны; Доставка готовых блюд; Бары,"Приморский проспект, 80 ст1",1 этаж,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-01:00; Сб: 12:00-01:00; Вс: 12:00-22:00,+03:00,3.8,29,88124358565,89215548925,,,,,,,,https://vk.com/milwaukeebar,https://wa.me/79215548925,,,,,https://t.me/+79215548925,,,,59.989115,30.187957,https://2gis.com/firm/70000001041856324
Макао,китайский ресторан,Рестораны; Доставка готовых блюд,"улица Кораблестроителей, 32 к1",1 этаж,199058,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.4,39,88123054785,,,,,,,,,,,,,,,,,,,59.95322,30.217373,https://2gis.com/firm/5348552838590664
Room dnd,ресторан японской кухни,Рестораны; Доставка готовых блюд,"Суворовский проспект, 18",3 этаж; Гранд отель Эмеральд,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.0,8,89311003000,,,,,http://roomdnd.ru,http://t.me/room_dnd,,,https://vk.com/room_dnd,,,,,,,,,,59.935399,30.37125,https://2gis.com/firm/70000001053438036
Kinza,ресторан,Рестораны; Банкетные залы,"улица Комсомола, 10",1 этаж,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,3.7,33,88125421575,89219059539,,,,,,,,,https://wa.me/79032553993,,,,,,,,,59.954326,30.361184,https://2gis.com/firm/70000001021627303
Драго,ресторан,Рестораны,"Приморский проспект, 15",1 этаж,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.1,10,88124306984,,,,,http://www.drago.ru,,,,https://vk.com/dragorest,,,,,,,,,,59.984435,30.293494,https://2gis.com/firm/5348552838492277
Chili pizza,ресторан итальянской кухни,Рестораны; Доставка готовых блюд,"улица Типанова, 27",148 секция; 1 этаж,196211,Гагаринское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,374,88122443292,,,,,http://chiligroup.ru,http://www.chilipizza.ru,,,https://vk.com/lovechilipizza,,,,,,,,,,59.854013,30.350894,https://2gis.com/firm/5348552841382945
Мацони,ресторан,Рестораны; Доставка готовых блюд; Банкетные залы,"проспект Луначарского, 98 к1",1 этаж,195269,Прометей,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.8,68,88129643065,,,,,http://maconi.info,,,,https://vk.com/resto.maconi,https://wa.me/79219643065,,,,,https://t.me/resto_maconi,,,,60.029393,30.398642,https://2gis.com/firm/70000001006942235
Beer House,сеть баров,Бары; Доставка готовых блюд; Рестораны; Кафе,"проспект Пятилеток, 2",1 этаж,193318,Правобережный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.3,107,88125012164,,,info@beerhousebar.ru,,http://beerhousebar.ru/?utm_source=2gis,,,,https://vk.com/beerhousebar,,,,,,,,,,59.920191,30.464847,https://2gis.com/firm/70000001006508152
Мясо&Хлеб,мясной ресторан,Рестораны; Доставка готовых блюд,"Светлановский проспект, 48 к4",2 этаж,195427,Академическое,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.4,46,88126701555 (единый номер: пн-вс 10:00-23:30),,,,,,,,,https://vk.com/clubmeatbread,https://wa.me/79692002004,,,,,https://t.me/myasokhleb,https://t.me/+79692002004,,,60.02544,30.382552,https://2gis.com/firm/70000001043732781
Пикник,семейный ресторан,Рестораны; Доставка готовых блюд; Кафе; Банкетные залы,"Невский проспект, 182",цокольный этаж,191167,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.2,53,88126795957,,,,,http://ресторанпикник.рф,,,,https://vk.com/pizzapicnic,https://wa.me/79650443667,,,,,,,,,59.924706,30.382959,https://2gis.com/firm/70000001047680923
Megumi,ресторан,Рестораны; Суши-бары,"переулок Антоненко, 2",1 этаж; Lotte hotel St.Petersburg,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.5,4,88123842234,88123361000,,,,http://www.lottehotel.com/stpetersburg-hotel/ru/dining/restaurant-megumi.html,,,,,https://wa.me/78123361000,,,,,,,,,59.931362,30.310334,https://2gis.com/firm/70000001033336757
