Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
Дикси,супермаркет,Супермаркеты,"Английская, 2",1 этаж,188692,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.8,44,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.903074,30.521538,https://2gis.com/firm/70000001038312059
Красное&Белое,магазин,Алкогольные напитки; Снековая продукция; Безалкогольные напитки,"Крыленко, 1 к1 ст3",1 этаж,193230,Народный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,4.5,4,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.89278,30.452162,https://2gis.com/firm/70000001058798738
Икра и Рыба,магазин,Рыба / Морепродукты,"Чайковского, 38/9",цокольный этаж,191123,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.5,2,89944401025,,,,,http://икраирыба.рф,,,,https://vk.com/ikrairybaspb,,,,,,,,,https://youtube.com/channel/UCOXWR63gSdk_MleICLXQ_WA,,59.94662,30.359008,https://2gis.com/firm/70000001034432554
Реалъ,универсам,Супермаркеты,"улица Дыбенко, 27 к1 лит Х",1 этаж,193232,Муниципальный округ №54,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (технический перерыв: 2:00-6:00),+03:00,2.7,11,88127034173 (доп.5692),88127034173 (единый номер: пн-вс 8:00-22:00),,,,http://tdreal.spb.ru,,,,,https://wa.me/79626840505,,,,,,,,,,59.904887,30.476792,https://2gis.com/firm/70000001042833331
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"площадь Чернышевского, 10",1 этаж,196070,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.5,6,"88123216060 (доп.5129, многоканальный)",,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,59.867362,30.314166,https://2gis.com/firm/70000001021370066
Мир замков,магазин,Замки / Скобяные изделия,"проспект Медиков, 5",цокольный этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+03:00,5.0,5,88129817956,,,m5@vsezamki.net,,http://vsezamki.net,,,,https://vk.com/mirzamkov,https://wa.me/79052829559,,,,,https://t.me/Door_Lock_Store,,,,,59.969331,30.314467,https://2gis.com/firm/70000001026888854
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Тамбовская улица, 70",,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.9,7,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.908923,30.351906,https://2gis.com/firm/70000001057201330
Три цены,универсам,Супермаркеты,"8-я линия В.О., 29",1 этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,2,,,,,,,,,,,,,,,,,,,,,59.940178,30.278975,https://2gis.com/firm/70000001039979911
Ценбери,супермаркет,Супермаркеты,"Пражская, 5",1 этаж,188692,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.5,2,,,,,,,,,,,,,,,,,,,,,59.908752,30.51153,https://2gis.com/firm/70000001064252631
Красное&Белое,магазин,Алкогольные напитки; Продуктовые магазины,"шоссе Революции, 13",Цокольный этаж,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:05; Вт: 08:00-22:05; Ср: 08:00-22:05; Чт: 08:00-22:05; Пт: 08:00-22:05; Сб: 08:00-22:05; Вс: 08:00-22:05,+03:00,2.7,4,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.959098,30.415919,https://2gis.com/firm/70000001063869340
Семишагофф,супермаркет,Супермаркеты,"проспект Просвещения, 75",1 этаж,195269,Прометей,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.0,1,88126485000 (горячая линия: пн-вс 9:00-21:00),,,,,http://semishagoff.org,,,,https://vk.com/7shagoff,,,,,,https://t.me/semishagoff_7,,,,,60.038432,30.402466,https://2gis.com/firm/70000001022389678
Магнит,супермаркет,Супермаркеты,"проспект Пятилеток, 14 к1",1 этаж,193318,Правобережный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:30; Вт: 09:00-22:30; Ср: 09:00-22:30; Чт: 09:00-22:30; Пт: 09:00-22:30; Сб: 09:00-22:30; Вс: 09:00-22:30,+03:00,3.4,5,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.923584,30.453155,https://2gis.com/firm/5348552838491375
Вместе,универсам,Супермаркеты,"проспект Римского-Корсакова, 83-85",1 этаж,190121,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.0,7,88002015969 (интернет-магазин: пн-вс 9:00-21:00),,,,,http://universamvmeste.ru,,,,https://vk.com/unvmeste,https://wa.me/79217840801,,,,,,,,,,59.919931,30.284314,https://2gis.com/firm/70000001042912083
Дикси,супермаркет,Супермаркеты,"Областная, 3",,188691,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.7,44,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.917685,30.505222,https://2gis.com/firm/70000001038330533
Магнит,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Ленинский проспект, 95 к1",1 этаж,198330,Юго-Запад,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.0,2,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.852981,30.214622,https://2gis.com/firm/5348553838863672
Магнит,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Курчатова, 4",1 этаж,194223,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.0,2,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,60.007261,30.357021,https://2gis.com/firm/70000001072165178
Пловдив,универсам,Супермаркеты,"улица Ярослава Гашека, 6 лит А",1 этаж,192281,Балканский,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.4,14,88127587100 (офис),,,,,http://plovdiv.su,,,,https://vk.com/club60938952,,,,,,,,,,,59.833043,30.390909,https://2gis.com/firm/70000001026041279
Фасоль,супермаркет,Супермаркеты,"Кавалергардская, 8",1 этаж,191015,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,2.5,4,88007001077 (единая справочная: пн-вс 9:00-23:00),,,,,http://myfasol.ru,,,,,,,,,,,,,,,59.944135,30.382402,https://2gis.com/firm/5348552840068903
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"Туристская улица, 22 лит А",1 этаж,197345,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,3.7,3,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.999339,30.207349,https://2gis.com/firm/70000001051080220
Магнит,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Кондратьевский проспект, 57",1 этаж,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:30; Вт: 09:00-22:30; Ср: 09:00-22:30; Чт: 09:00-22:30; Пт: 09:00-22:30; Сб: 09:00-22:30; Вс: 09:00-22:30,+03:00,2.0,3,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.974676,30.390947,https://2gis.com/firm/5348553839127335
Дикси,супермаркет,Супермаркеты,"Фрунзе, 27",1 этаж,196135,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,2.5,9,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.861487,30.332562,https://2gis.com/firm/5348552838690904
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Большой Сампсониевский проспект, 57",1 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.4,29,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.972345,30.340343,https://2gis.com/firm/5348553838866507
Белорусская обувь,магазин,Обувные магазины; Сумки / Кожгалантерея,"улица Краснопутиловская, 121",1 этаж,196240,Новоизмайловское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,59.848064,30.311031,https://2gis.com/firm/5348553838650814
Семишагофф,супермаркет,Супермаркеты,"Светлановский проспект, 36 к3",1 этаж,195427,Академическое,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.3,6,88126485000 (горячая линия: пн-вс 9:00-21:00),,,,,http://semishagoff.org,,,,https://vk.com/7shagoff,,,,,,https://t.me/semishagoff_7,,,,,60.022592,30.373929,https://2gis.com/firm/70000001038426031
Мостабак,магазин,Табачные изделия / Товары для курения; Электронные сигареты,"улица Ленсовета, 86а",1 этаж,196158,Звездное,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.7,6,89921809172,,,,,http://mostabak.su,,,,https://vk.com/mostabakofficial,,,,,,https://t.me/mostabak_official,,,https://youtube.com/mostabakofficial,,59.832943,30.349428,https://2gis.com/firm/70000001067674206
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"проспект Просвещения, 31 к1",1 этаж,194295,Сергиевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.0,21,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,60.050887,30.342066,https://2gis.com/firm/70000001017470881
Олива,мини-маркет,Супермаркеты,"улица Новгородская, 23",1 этаж,191124,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 11:00-17:00,+03:00,4.0,1,89643420098,,,,,,,,,,,,,,,,,,,,59.940724,30.393821,https://2gis.com/firm/70000001018543955
Магнит,супермаркет,Супермаркеты,"Дачный проспект, 27 к1",1 этаж,198217,Дачное,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.7,5,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.838206,30.260905,https://2gis.com/firm/70000001054838665
Магнит,супермаркет,Супермаркеты,"Плесецкая, 6 ст1",1 этаж,197373,Юнтолово,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:30; Вт: 08:00-22:30; Ср: 08:00-22:30; Чт: 08:00-22:30; Пт: 08:00-22:30; Сб: 08:00-22:30; Вс: 08:00-22:30,+03:00,2.3,3,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,60.031821,30.209783,https://2gis.com/firm/70000001061977901
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Николая Рубцова, 13",1 этаж,194363,Парголово пос.,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.9,35,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,60.07757,30.336179,https://2gis.com/firm/70000001022546588
Красное&Белое,магазин,Алкогольные напитки,"улица Уральская, 21 лит А",1 этаж,199155,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,,,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.955319,30.255148,https://2gis.com/firm/70000001075866310
Мостабак,магазин,Табачные изделия / Товары для курения; Электронные сигареты,"Коломяжский проспект, 26Б",,197341,Комендантский аэродром,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,5.0,2,89312370004,,,,,http://mostabak.su,,,,https://vk.com/mostabakofficial,,,,,,https://t.me/mostabak_official,,,https://youtube.com/mostabakofficial,,60.003569,30.297338,https://2gis.com/firm/70000001080017354
Вместе,универсам,Супермаркеты; Доставка продуктов / хозтоваров,"Малая Посадская, 17",1 этаж,197046,Посадский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,1.7,9,88002015969 (интернет-магазин: пн-вс 9:00-21:00),,,,,http://universamvmeste.ru,,,,https://vk.com/unvmeste,https://wa.me/79217840801,,,,,,,,,,59.95784,30.328752,https://2gis.com/firm/70000001038954604
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Адмирала Черокова, 18 к2",1 этаж,198322,Южно-Приморский,Красносельский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.0,13,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.853014,30.143394,https://2gis.com/firm/70000001025789866
Магнит,супермаркет,Супермаркеты,"Руднева, 16 ст1",1 этаж,194291,Муниципальный округ №15,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-22:30; Вт: 08:30-22:30; Ср: 08:30-22:30; Чт: 08:30-22:30; Пт: 08:30-22:30; Сб: 08:30-22:30; Вс: 08:30-22:30,+03:00,4.0,2,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,60.043326,30.363079,https://2gis.com/firm/70000001065596223
Ладоград,мини-маркет,Продуктовые магазины,"Партизанская, 11",,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,5.0,1,88123268432,,,,,http://www.ladograd.ru,,,,,,,,,,,,,,,59.946271,30.430573,https://2gis.com/firm/5348552838484023
Ароматный мир,винный супермаркет,Алкогольные напитки; Супермаркеты,"Измайловский проспект, 3",1 этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.2,11,88127026639 (доп.5026),,,,,http://amwine.ru,,,https://twitter.com/amwineru,https://vk.com/amwineru,,,,,,https://t.me/amwineru,,,,,59.91825,30.307277,https://2gis.com/firm/5348553838539404
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Заречная, 19 к1",1 этаж,194358,Парголово пос.,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.4,37,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,60.071745,30.32224,https://2gis.com/firm/70000001023502296
Магнит,супермаркет,Супермаркеты,"проспект Испытателей, 26 к2 лит А",цокольный этаж,197227,Озеро Долгое,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,2.0,4,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,60.006548,30.268195,https://2gis.com/firm/70000001006593304
Хороший чай,магазин,Продажа чая; Продажа кофе; Посуда,"улица Садовая, 35",цокольный этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-21:30; Вт: 11:00-21:30; Ср: 11:00-21:30; Чт: 11:00-21:30; Пт: 11:00-21:30; Сб: 11:00-21:30; Вс: 11:00-21:30,+03:00,4.4,14,88129589855,89118382808,,,,,,,,https://vk.com/teateatea,https://wa.me/79118382809,https://wa.me/79118382808,,,,,,,,,59.927908,30.320111,https://2gis.com/firm/5348553838660625
Red vape,магазин,Электронные сигареты; Табачные изделия / Товары для курения; Пункты приёма,"Ворошилова, 31 к4",1 этаж,193231,Правобережный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,3,88007751031,,,,,,,,,,https://wa.me/79818402219,,,,,,,,,,59.933,30.46256,https://2gis.com/firm/70000001069213808
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"проспект Славы, 55",1 этаж,192249,Муниципальный округ №72,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,3.0,1,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.864794,30.414267,https://2gis.com/firm/5348552838658947
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"проспект Энгельса, 145 к1",1 этаж,194358,Сергиевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,2.5,9,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,60.055701,30.338259,https://2gis.com/firm/70000001051088736
