Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
FermA,кондитерская,Кофейни; Кафе-кондитерские,"Брантовская дорога, 3",1 этаж,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,51,89313999530,,,,,http://white-group.ru/restaurants/view/ferma-cafe-okhta-moll,,,https://vk.com/fermacafeteria,,,,,,,,,59.939753,30.417413,https://2gis.com/firm/70000001041875110
Фокус,кофейня,Кофейни,"Малоохтинский проспект, 64 лит А",1 этаж,195112,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-18:30; Вт: 08:30-18:30; Ср: 08:30-18:30; Чт: 08:30-18:30; Пт: 08:30-18:30,+03:00,5.0,6,,,,,,,,,,,,,,,https://t.me/focuscoffeespb,,,59.93169,30.402432,https://2gis.com/firm/70000001066945079
Грузинская пекарня,,Пекарни; Кофейни,"проспект Маршала Блюхера, 9 к2",1 этаж,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,5.0,14,89817753222,,,,,,,,,,,,,,,,,59.978903,30.374129,https://2gis.com/firm/70000001057194897
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кондитерские изделия; Кофейни; Пекарни,"Заневский проспект, 9",1 этаж,195196,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.8,9,88123187985,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.928035,30.408419,https://2gis.com/firm/5348552838577633
Ам!,пекарня,Пекарни; Кондитерские изделия; Кофейни,"Каменноостровский проспект, 2Б",цокольный этаж,197101,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+03:00,4.5,11,88123000707 (единая справочная: пн-пт 9:00-17:00),89217815202 (единый номер: пн-пт 9:00-17:00),,,,http://am.cafe,,,https://vk.com/am.cafe,https://wa.me/79213359278,,,,,https://t.me/ampekarni,,,59.956449,30.31927,https://2gis.com/firm/70000001045003344
Am7Pm,кофейня,Кофейни,"Магнитогорская, 11 лит В ст1 стр",,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,5.0,2,89626820632,89811773791,,,,,,,,https://wa.me/79626820632,https://wa.me/79811773791,,,,,,,59.934581,30.417433,https://2gis.com/firm/70000001079024240
Кофе Boss,кофейня,Кофейни,"Барочная, 12",1 этаж; центр Ориенталь,197136,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+03:00,3.3,5,89313764761,,,,,,,,,https://wa.me/79313764761,,,,,https://t.me/+79313764761,,,59.969882,30.287784,https://2gis.com/firm/70000001070339709
Garage Lounge,кофейня и лаундж-бар,Кофейни,"Косая линия, 10",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 08:30-21:00; Вс: 08:30-21:00,+03:00,4.0,5,89219151354,,,,,,,,,,,,,,,,,59.928966,30.259331,https://2gis.com/firm/70000001053628077
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кондитерские изделия; Кофейни,"Малый проспект В.О., 82",1 этаж,199406,Гавань,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,2.9,10,88124588753,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.937619,30.236769,https://2gis.com/firm/70000001041164831
Mad espresso team,кофейня,Кофейни; Продажа кофе,"Решетникова, 12",1 этаж; вход с ул. Решетникова,196105,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+03:00,4.3,8,88126448791 (единый номер: пн-вс 10:00-20:00),,,,,http://met.coffee/adresa-kofeen-met,,,,,,,,,,,,59.879011,30.323439,https://2gis.com/firm/70000001067417512
Буше,пекарня-кондитерская,Кондитерские изделия; Пекарни; Доставка готовых блюд; Кофейни,"Белы Куна, 3",1 этаж,192242,Купчино,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.4,57,88126405151 (единая справочная: пн-чт 9:00-18:00; пт 9:00-17:00),,,,,http://bushe.ru,http://shop.bushe.ru,,https://vk.com/bushe.bakery,,,,,,https://t.me/bushe_delivery_bot,,,59.870074,30.378939,https://2gis.com/firm/70000001006687895
КофеКошкаМандельштам,кофейня,Кофейни,"Старо-Петергофский проспект, 31/2",1 этаж,190020,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.8,4,,,,,,http://t.me/coffee_koshka_mandelstam,,,https://vk.com/coffeekoshkamandelstam,,,,,,,,,59.90558,30.27636,https://2gis.com/firm/70000001078723644
Baggins Coffee,кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"Степана Разина, 9",1 этаж,198035,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,4.8,6,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.912179,30.26618,https://2gis.com/firm/70000001045701978
Cake me tender,кофейня-кондитерская,Кондитерские изделия; Доставка готовых блюд; Кофейни; Пекарни,"Решетникова, 12",1 этаж; Московский рынок,196105,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+03:00,4.8,10,89310095070,,,,,http://cakemetender.ru,,,https://vk.com/cakemetender.cafe,,,,,,https://t.me/cakemetender,,,59.879223,30.323943,https://2gis.com/firm/70000001065145065
Мишка bakery,пекарня,Кофейни; Пекарни; Кондитерские изделия,"проспект Маршала Блюхера, 9 к1",1 этаж,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.4,35,89657801957,,,,,,,,https://vk.com/mishka_bakery,,,,,,,,,59.979753,30.376962,https://2gis.com/firm/70000001037818847
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кондитерские изделия; Кофейни; Пекарни,"Старо-Петергофский проспект, 41",1 этаж,190020,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.0,3,88124585303,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.902255,30.275333,https://2gis.com/firm/70000001037885307
Цех85,пекарня-кондитерская,Пекарни; Кафе-кондитерские; Доставка готовых блюд; Кофейни; Кондитерские изделия,"Московский проспект, 182",1 этаж,196105,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.1,39,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.875594,30.320956,https://2gis.com/firm/70000001029029043
Лавка кулинара,кафе-пекарня,Кофейни; Продукты быстрого приготовления; Хлебобулочные изделия,"улица Кораблестроителей, 32 к3",1 этаж,199058,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,7,89990050217,,,,,http://t.me/lavkakylinara,,,https://vk.com/club217635780,https://wa.me/79990050217,,,,,,,,59.953155,30.215404,https://2gis.com/firm/70000001065933521
Sila Raush Coffee,,Кофейни,"Профессора Попова, 23 лит В",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:50-18:30; Вт: 07:50-18:30; Ср: 07:50-18:30; Чт: 07:50-18:30; Пт: 07:50-18:30; Сб: 09:00-17:00,+03:00,,,89811979920,,,,,,,,,https://wa.me/79811979920,,,,,,,,59.971158,30.313267,https://2gis.com/firm/70000001063215264
Север-Метрополь,кафе-кондитерская,Доставка готовых блюд; Кофейни; Кондитерские изделия; Кафе-кондитерские; Пекарни,"улица Савушкина, 3",1 этаж,197183,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,3.5,13,88126409507,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.986656,30.298663,https://2gis.com/firm/5348552838577652
Plod coffee,кофейня,Кофейни; Кондитерские изделия; Хлебобулочные изделия; Безалкогольные напитки; Кафе,"Аптекарский проспект, 9",1 этаж; от входа направо,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-18:00,+03:00,5.0,1,89531696552,89500043244,,,,,,,,https://wa.me/79531696552,,,viber://chat/?number=79500043244,,,,,59.974992,30.32159,https://2gis.com/firm/70000001075192693
One Price Coffee,экспресс-кофейня,Кофейни,"Стремянная, 22",,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,84950153150 (единая справочная: пн-вс 9:00-21:00),,,,,http://onepricecoffee.com,,,https://vk.com/onepricecoffee60,,,,,,https://t.me/opc_2022,,,59.930884,30.354812,https://2gis.com/firm/70000001068866764
One Price Coffee,экспресс-кофейня,Кофейни,"площадь Ленина, 6",,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-21:00; Вс: 07:30-21:00,+03:00,,,84950153150 (единая справочная: пн-вс 9:00-21:00),,,,,http://onepricecoffee.com,,,https://vk.com/onepricecoffee60,,,,,,https://t.me/opc_2022,,,59.955479,30.356374,https://2gis.com/firm/70000001068866695
Baggins Coffee,кофейня,Кофейни; Продажа кофе,"Большой Сампсониевский проспект, 76",1 этаж,194100,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.7,12,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.983549,30.333374,https://2gis.com/firm/70000001041655702
Bonape,кофейня,Кофейни,"15-я линия В.О., 8",1 этаж,199034,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,4.3,21,84993460937,,,,,,,,,,,,,,,,,59.935499,30.273639,https://2gis.com/firm/70000001052065307
Пряник,кофейня-пекарня ,Кофейни; Пекарни,"Ломоносова, 12/66",13 помещение,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,,,89021665354,,,,,,,,,https://wa.me/79021665354,,,,,,,,59.928148,30.336979,https://2gis.com/firm/70000001081094632
Luka coffee,,Кофейни; Продажа кофе,,,191123,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,5.0,3,,,,,,,,,,,,,,,https://t.me/Luka_coffee,,,59.947744,30.359038,https://2gis.com/firm/70000001075574282
БЖУ,кофейня,Кофейни,"улица Комсомола, 2",1 этаж; скалодром El Capitan,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,,,,,,,,,,,,,,,,,,,,59.955231,30.37377,https://2gis.com/firm/70000001071768278
Smacaf,кофейня-магазин,Продажа кофе; Кофейни; Продажа чая; Кондитерские изделия; Специи / Пряности,"улица Наличная, 26 к1",1 этаж,199406,Гавань,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.4,12,89052020418,,,,,http://www.smacaf.ru,,,https://vk.com/smacaf,https://wa.me/79052020418,,,,,,,,59.940703,30.231465,https://2gis.com/firm/70000001041049191
Etlon coffee,сеть кофе-баров,Кофейни,"22-я линия В.О., 3 к1",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+03:00,5.0,4,89992367777 (единая справочная: пн-вс 10:00-22:00),,,admin@etloncoffee.ru,,http://etlon.ru,,,https://vk.com/etloncoffee,https://wa.me/79992367777,,,viber://chat/?number=79992367777,,https://t.me/etloncoffee,,https://youtube.com/channel/UC3jxN8ac9WTKn6pY6oXF0FQ,59.931762,30.26499,https://2gis.com/firm/70000001055696606
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кофейни; Кондитерские изделия; Хлебобулочные изделия,"проспект Металлистов, 116 к1 лит А",1 этаж,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.0,4,88123349908,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.971268,30.396573,https://2gis.com/firm/70000001074613717
Espresso Mafia,,Кофейни,"8-я линия В.О., 45",1 этаж; в арке,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,"Пн: 07:30-15:00, 15:30-19:30; Вт: 07:30-15:00, 15:30-19:30; Ср: 07:30-15:00, 15:30-19:30; Чт: 07:30-15:00, 15:30-19:30; Пт: 07:30-15:00, 15:30-19:30; Сб: 07:30-15:00, 15:30-19:30; Вс: 07:30-15:00, 15:30-19:30",+03:00,4.2,4,,,,,,,,,,,,,,,,,,59.942371,30.276678,https://2gis.com/firm/70000001078585068
Baggins Coffee,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"проспект Шаумяна, 10а",1 этаж,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.5,19,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.935762,30.415824,https://2gis.com/firm/70000001036297636
Чудо-печка,кафе-пекарня,Пекарни; Кофейни; Кондитерские изделия,"Профессора Попова, 43",1 этаж,197022,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.3,54,89992168720,,,,,,,,,https://wa.me/79657685635,,,,,,,,59.97112,30.290837,https://2gis.com/firm/70000001035010262
Мишка bakery,г. Санкт-Петербург,Пекарни; Кофейни; Кондитерские изделия; Мороженое; Продажа кофе,"Пискарёвский проспект, 25 к2",1 этаж,195176,Полюстрово,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,32,,,,,,,,,,,,,,,,,,59.971256,30.413673,https://2gis.com/firm/70000001075219530
Кофестория,кофейня,Кофейни,"Российский проспект, 14",1 этаж,193231,Правобережный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.7,36,89213219988,,,kofestoria@mail.ru,,http://kofestoria.vsite.biz,,,https://vk.com/kofestoria,,,,,,,,,59.928164,30.471278,https://2gis.com/firm/70000001066117577
Etlon coffee,сеть кофе-баров,Кофейни,"26-я линия В.О., 7",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.2,3,89992367777 (единая справочная: пн-вс 10:00-22:00),,,admin@etloncoffee.ru,,http://etlon.ru,,,https://vk.com/etloncoffee,https://wa.me/79992367777,,,viber://chat/?number=79992367777,,https://t.me/etloncoffee,,https://youtube.com/channel/UC3jxN8ac9WTKn6pY6oXF0FQ,59.930908,30.260821,https://2gis.com/firm/70000001069223650
Waffelhaus,,Кофейни; Кондитерские изделия,"26-я линия В.О., 7",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,,,89992497353,,,,,,,,,,,,,,,,,59.930596,30.260286,https://2gis.com/firm/70000001081129684
Choco.cake,кофейня,Кондитерские изделия; Новогодние сладкие подарки; Сувенирные композиции; Кофейни; Продажа кофе,"Республиканская, 35 ст1",1 этаж,195112,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,1,89139234154,,,,,http://cakehandmade.ru,,,,https://wa.me/79139234154,,,viber://chat/?number=79139234154,,,,https://youtube.com/channel/UCTHUFytTTHApie3zglCbg3g,59.932686,30.420233,https://2gis.com/firm/70000001065954561
Точка вкуса,кофейня-магазин чая и специй,Кофейни; Доставка готовых блюд; Специи / Пряности; Продажа чая; Табачные изделия / Товары для курения,"Киевская, 6 к2",1 этаж,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,3.5,21,89697372463 (единая справочная: пн-пт 10:00-20:00),,,,,http://tochkavkusa.shop,,,https://vk.com/tochkavkusa_spb,,,,,,,,,59.903002,30.32378,https://2gis.com/firm/70000001021749800
The Lobby Cafe,,Кофейни; Доставка готовых блюд,"Киевская, 5 к7",1 этаж,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,5.0,12,88124099114,,,,,http://www.thelobby.ru,,,https://vk.com/public220907746,,,,,,https://t.me/+79211872034,,,59.902903,30.324962,https://2gis.com/firm/70000001063172850
"Eday smart-bistro, кофе-корнер",,Кофейни,"Ушаковская набережная, 3 к1",1 этаж,197342,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+03:00,,,,,,,,,,,,,,,,,,,,59.981745,30.31458,https://2gis.com/firm/70000001069271946
Север-Метрополь,кафе-кондитерская,Кафе-кондитерские; Кофейни; Хлебобулочные изделия; Кондитерские изделия,"Кушелевская дорога, 3 к7",1 этаж,195220,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.2,4,88123449910,,,,,http://sever-metropol.ru,,,https://vk.com/sever.metropol,,,,,,https://t.me/severmetropol,,,59.987501,30.371573,https://2gis.com/firm/70000001067998767
b.o.b,пекарня,Пекарни; Кондитерские изделия; Кофейни,"улица Уральская, 21 лит А",1 этаж,199155,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:30; Вт: 08:30-21:30; Ср: 08:30-21:30; Чт: 08:30-21:30; Пт: 08:30-21:30; Сб: 08:30-21:30; Вс: 08:30-21:30,+03:00,4.2,5,89522040731,,,,,,,,,https://wa.me/79522040731,,,,,,,,59.955812,30.254029,https://2gis.com/firm/70000001064319532
КофеБон,сеть кофеен,Кофейни; Доставка готовых блюд; Продажа кофе; Кондитерские изделия; Продажа чая; Точки кофе,"Ланское шоссе, 5",1 этаж,197342,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 09:00-21:00,+03:00,4.9,51,88123099510 (единый номер: пн-пт 10:00-20:00),,,marketing@coffeebon.ru,,http://coffeebon.ru,,,https://vk.com/coffee_bon,,,,,,https://t.me/coffe_bon,,,59.989621,30.302528,https://2gis.com/firm/70000001035595674
Small Talk,,Кофейни; Кафе-кондитерские,"Манчестерская, 3 ст1",1 этаж,194156,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.7,37,,,,,,http://tap.link/smalltalk.coffee,,,https://vk.com/smalltalk.coffee,https://wa.me/79313526280,,,,,,,,60.011011,30.331073,https://2gis.com/firm/70000001068099794
Etlon coffee,сеть кофе-баров,Кофейни,"Парфёновская, 14 к1 ст1",,196084,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,2,89992367777 (единая справочная: пн-вс 10:00-22:00),,,admin@etloncoffee.ru,,http://etlon.ru,,,https://vk.com/etloncoffee,https://wa.me/79992367777,,,viber://chat/?number=79992367777,,https://t.me/etloncoffee,,https://youtube.com/channel/UC3jxN8ac9WTKn6pY6oXF0FQ,59.900416,30.312593,https://2gis.com/firm/70000001078520921
